Product Name,Brand Name,Price,Rating,Reviews,Review Votes,Summary
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,"This is a great product it came after two days of ordering it. There was only one little blemish on the side,but who cares as long as the phone is fullly functional.i recommend this product to anyone reading this.",0,"[('positive', 'great product'), ('positive', 'fast delivery'), ('positive', 'fully functional phone'), ('positive', 'recommend to anyone reading this')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,These guys are the best! I had a little situation with my item but they quickly fixed the issue. I was pleased and will definitely be buying another phon from them if I need one.,2,"[('positive', 'fixed the issue'), ('positive', 'pleased'), ('positive', 'will definitely be buying another phone from them')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,1,I'm really disappointed about my phone and service. The phone went out on me over a week ago. Instead of handling it when issue first surfaced. I've been told to do this and do that. Now I'm stick with no phone and I'm out 55 dollars for service that I'm not using. I still haven't received a mailing label to return item. This was my first purchase on amazon. I'm not rushing to use theirs or smartphones 288 business Anytime soon. I thought I was getting a deal but it seems like I'm the one who lucked out.,1,"[('negative', 'disappointed about phone and service'), 
 ('negative', 'phone went out and not handled properly'), 
 ('negative', 'told to do this and that'), 
 ('negative', 'no phone and wasted money on service'), 
 ('negative', 'no mailing label received'), 
 ('negative', 'first purchase on Amazon"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,Ordered this phone as a replacement for the same model until my contract expires and I can get a new one. Seller confirmation said delivery could take up to 7 days. Seller sent out the phone within hours of receiving the order and I had the phone the next day. Phone looks better than described was able to transfer data from the old one to the new one with no problems. Highly recommend this seller,1,"[('positive', 'fast delivery'), ('positive', 'better than described'), ('positive', 'able to transfer data easily'), ('positive', 'highly recommend this seller')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,2,"Had this phone before and loved it but was not working so I got this phone. One thing is the SD card slot does not open up when I try to access it in file managment, even does not show up on the computer. The card is fine was able to open on another phone. Trying to trouble shoot it for now.",0,"[('positive', 'loved previous phone'), ('negative', 'SD card slot not opening up in file management or computer')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,"I was able to get the phone I previously owned...with a keyboard and touch screen. It's the best phone and I love it. I still had to clean the device with my service provider, but it was well worth it.",6,"[('positive', 'best phone and I love it'), ('positive', 'well worth it')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,"I brought this phone as a replacement for my daughter, who is very hard on cell phones. I must say it was a great purchase. The phone work wonderful. Thank you",0,"[('positive', 'great purchase'), ('positive', 'phone works wonderful'), ('positive', 'thank you')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,I love the phone. It does everything I need and works great. I purchased four of these phones through a seller that shipped from Amazon's warehouse. My only problem is that the phone didn't come with a micro sd card. I couldn't use the camera until I got the card. No problems getting these activated at Sprint.,1,"[('positive', 'love the phone'), ('positive', 'does everything I need'), ('positive', 'works great'), ('negative', 'no micro sd card'), ('positive', 'couldn\'t use the camera until got the card'), ('positive', 'no problems getting these activated at Sprint')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,3,"unfortunately Sprint could not activate the phone due to the blocking issue with the phone, the matter was handled very well and quickly. Very satisfied with the service.",0,"[('positive', 'handled the blocking issue well and quickly'), ('positive', 'satisfied with the service')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,"The battery was old & had been over used because it barely holds a charge. Otherwise, no issues with the phone itself.",0,"[('negative', 'old & overused battery'), ('positive', 'no issues with the phone itself')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,"pros-beautiful screen,capable of running chrome,take good pictures,the keyboard is comfy,fits in my pocket and fit my hands,plays really good videos and gamescons-no Bluetooth,came late,run down fast really quick,doesnt play 1080p videos.but I would still recommend it to those who like to talk and text a lot like me and watch a lot of movies",0,"[('positive', 'beautiful screen'),
 ('positive', 'capable of running chrome'),
 ('positive', 'takes good pictures'),
 ('positive', 'keyboard is comfy'),
 ('positive', 'fits in pocket and hands'),
 ('positive', 'plays really good videos and games'),
 ('negative', 'no Bluetooth'),
 ('negative', 'came late'),
 ('"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,1,I purchased this phone in December as a christmas present to my son. I called sprint to activate the phone only to find out the ESN wasn't clear. I was told to come into the store and upon research the phone wasn't clear. I reached out to this company to inform them that this ESN wasn't clean. I was told to send the phone back and they would send out another phone. I asked the representative to provide me with the ESN # so that I could call and make sure it was clear. I was told that they didn't have to phone available and was guaranteed it would be clear. I should've known something was wrong then. I received a second phone that turned out not have a clear ESN. The representative at Sprint informed me that the seller of these phones are aware the the ESN isn't clear. So once again I had to send another phone back. I asked for a refund for the phone and shipping since the sent me two phones that didn't have a clear ESN. I received my refund for the phone but have yet to see a refund for the shipping. I wouldn't suggest you buy anything from them.,19,"[('negative', 'ESN not clear, had to return multiple phones'), ('negative', 'refund for shipping not received'), ('negative', 'don\'t recommend buying from them')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,Phone good just a little slow phone old but it's a great phone temporary right now. thank you for the great deal,0,"[('positive', 'good phone'), ('positive', 'great phone'), ('positive', 'great deal')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,Phone's speaker little low. Overall very happy with the phone. I would purchase another cell phone from Chubbietech. I am satisfied.,0,"[('positive', 'Phone is overall very happy, would purchase another cell phone from Chubbietech. Satisfied')],
[('negative', 'Speaker is a little low.')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,the phone was great and in good condition. My Daughter is so happy the be a andriod user now !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,"[('positive', 'phone was great and in good condition'), ('positive', 'My Daughter is so happy to be an Android user')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,3,"the reasons for the 3 star rating was it was in my opinion better than my iphone 4s but it tends to randomly crash, and randomly power off but it is good for storage space, battery usage, and camera",0,"[('positive', 'better than my iphone 4s'),
 ('negative', 'randomly crash'),
 ('negative', 'randomly power off'),
 ('positive', 'good for storage space'),
 ('positive', 'good for battery usage'),
 ('positive', 'good camera')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,Phone works great. No problems at all,0,"[('positive', 'works great'), ('positive', 'no problems at all')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,1,was not in good condition but does work good,0,"[('positive', 'works good'), ('negative', 'not in good condition')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,1,"Just... not good. The phone has great screen resolution, storage is low, you need an SD card to do anything. May have a clear ESN but don't expect to use it with things like Freedompop.",0,"[('negative', 'not good'), ('positive', 'great screen resolution'), ('negative', 'storage is low'), ('negative', 'need an SD card to do anything'), ('negative', 'don\'t expect to use it with things like Freedompop')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,"as described, fast ship!",0,"[('positive', 'as described'), ('positive', 'fast ship')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,Perfect in every way.,0,"[('positive', 'Perfect in every way')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,2,One of the phones have a bad charger port. I want to send it back,0,"[('negative', 'bad charger port'), ('positive', 'send it back')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,Just got this phone and it is a great phone. It's easy to use.,0,"[('positive', 'great phone'), ('positive', 'easy to use')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,The phone was great but it had gotten old so it was time for a replacement.it was great while it lasted.,0,"[('positive', 'phone was great'), ('negative', 'it had gotten old'), ('positive', 'great while it lasted')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,This phone came in great condition! Great price and it brings back great memories of owning this phone!,0,"[('positive', 'great condition'), ('positive', 'great price'), ('positive', 'brings back great memories of owning this phone')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,Met all of my expectations. I can't complain at all. Great price!,0,"[('positive', 'Met all of my expectations'), ('positive', 'Great price')]"
